"target_uri";"fair_checker_score";"checker_percent_f";"checker_percent_a";"checker_percent_i";"checker_percent_r";"fair_checker_f1";"fair_checker_f2";"fair_checker_a1.1";"fair_checker_a1.2";"fair_checker_i1";"fair_checker_i2";"fair_checker_i3";"fair_checker_r1.1";"fair_checker_r1.2";"fair_checker_r1.3";"F1A";"F1B";"F2A";"F2B";"A1.1";"A1.2";"I1";"I2";"I3";"R1.1";"R1.2";"R1.3"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146284";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"https://github.com/hdsu-bioquant/irene-data";37,5;50;50;33,33;16,67;50;50;100;0;50;50;0;0;0;50;2;0;1;1;2;0;1;1;0;0;0;1
"https://figshare.com/articles/dataset/DataSheet1_A_Systematic_Review_of_Transcriptional_Dysregulation_in_Huntington_s_Disease_Studied_by_RNA_Sequencing_XLSX/16816798?backTo=/collections/A_Systematic_Review_of_Transcriptional_Dysregulation_in_Huntington_s_Disease_Studied_by_RNA_Sequencing/5663986";83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12678969";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"https://figshare.com/articles/dataset/Table_2_Evidence_of_B_Cell_Clonality_and_Investigation_Into_Properties_of_the_IgM_in_Patients_With_Schnitzler_Syndrome_xlsx/13324736?backTo=/collections/Evidence_of_B_Cell_Clonality_and_Investigation_Into_Properties_of_the_IgM_in_Patients_With_Schnitzler_Syndrome/5227352";83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13009845";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124719";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"https://figshare.com/articles/dataset/Table_1_Modulation_of_Liver_Inflammation_and_Fibrosis_by_Interleukin-37_XLSX/14160740?backTo=/collections/Modulation_of_Liver_Inflammation_and_Fibrosis_by_Interleukin-37/5326814";83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182644";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9850/";50;62,5;50;50;33,33;50;75;100;0;50;100;0;0;0;100;2;0;1;2;2;0;1;2;0;0;0;2
