"ID";"fair_enough_Gen2_FM_F1B_metadata";"fair_enough_Gen2_FM_F1A";"fair_enough_Gen2_FM_F2B";"fair_enough_Gen2_FM_F2A";"fair_enough_Gen2_FM_F3_data";"fair_enough_Gen2_FM_F3_metadata";"fair_enough_Gen2_FM_F4";"fair_enough_Gen2_FM_A1.1_data";"fair_enough_Gen2_FM_A1.1_metadata";"fair_enough_Gen2_FM_A1.2_data";"fair_enough_Gen2_FM_A1.2_metadata";"fair_enough_Gen2_FM_A2";"fair_enough_Gen2_FM_I1B_data";"fair_enough_Gen2_FM_I1A_data";"fair_enough_Gen2_FM_I1B_metadata";"fair_enough_Gen2_FM_I1A_metadata";"fair_enough_Gen2_FM_I2B";"fair_enough_Gen2_FM_I2A";"fair_enough_Gen2_FM_I3";"fair_enough_Gen2_FM_R1.1_metadata";"fair_enough_Gen2_FM_R1.1_data"
"https://figshare.com/articles/dataset/S1_Data_-/14162457";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://doi.org/10.11588/data/FSPQL4";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"https://osf.io/t3mcj/";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/S1_Dataset_-/14409535";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://doi.org/10.5281/zenodo.4135394";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Raw_data_of_all_MRSA_outbreak_reports_included_/14383401";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Raw_data_1_/14549776";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://doi.org/10.5281/zenodo.3718578";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"https://figshare.com/articles/dataset/S1_Dataset_-/14976465";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Supplementary_study_data_/14894303";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://doi.org/10.6084/m9.figshare.13251428";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"http://dx.doi.org/10.25532/OPARA-120";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://osf.io/bdsqv/";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/S1_Dataset_-/16602615";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/S1_Dataset_-/16662303";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://doi.org/10.6084/m9.figshare.16680565.v2";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Dataset_for_60_pats_CPI_/16925496";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Somatic_variants_of_candidate_driver_genes_in_MSH3-deficient_adenomas_/17094902";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://www.ncbi.nlm.nih.gov/nuccore/MT776952";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR9891693";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.wwpdb.org/pdb?id=pdb_00006zue";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
