"","ID","Gen2_FM_F1B_data","Gen2_FM_F1B_metadata","Gen2_FM_F1A","Gen2_FM_F2B","Gen2_FM_F2A","Gen2_FM_F3_data","Gen2_FM_F3_metadata","Gen2_FM_F4","Gen2_FM_A1.1_data","Gen2_FM_A1.1_metadata","Gen2_FM_A1.2_data","Gen2_FM_A1.2_metadata","Gen2_FM_A2","Gen2_FM_I1B_data","Gen2_FM_I1A_data","Gen2_FM_I1B_metadata","Gen2_FM_I1A_metadata","Gen2_FM_I2B","Gen2_FM_I2A","Gen2_FM_I3","Gen2_FM_R1.1_metadata","Gen2_FM_R1.1_data"
"63","https://figshare.com/articles/dataset/Data_table_depicting_overall_typing_results_/14311834","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"64","https://www.ncbi.nlm.nih.gov/nuccore/MW383507","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"65","https://figshare.com/articles/dataset/Dataset_1_/16806162","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"66","https://doi.org/10.5281/zenodo.4049178","0","1","1","1","1","0","1","0","0","1","0","1","0","0","0","1","1","0","1","1","0","1"
"67","https://figshare.com/articles/dataset/Tacrolimus_PK_model_dataset_/13630924","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"68","https://figshare.com/articles/dataset/Raw_data_/13866240","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"69","https://figshare.com/articles/dataset/S1_Data_-/14041848","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"70","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166400","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"71","https://figshare.com/articles/dataset/S1_Data_-/14162457","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"72","https://doi.org/10.11588/data/FSPQL4","0","1","1","1","1","0","0","0","0","1","0","1","0","0","0","1","1","0","1","1","0","0"
"73","https://osf.io/t3mcj/","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"74","https://figshare.com/articles/dataset/S1_Dataset_-/14409535","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"75","https://doi.org/10.5281/zenodo.4135394","0","1","1","1","1","0","1","0","0","1","0","1","0","0","0","1","1","0","1","1","0","1"
"76","https://figshare.com/articles/dataset/Raw_data_of_all_MRSA_outbreak_reports_included_/14383401","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"77","https://figshare.com/articles/dataset/Raw_data_1_/14549776","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"78","https://doi.org/10.5281/zenodo.3718578","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","1","1","0","1","1","0","0"
"79","https://figshare.com/articles/dataset/S1_Dataset_-/14976465","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"80","https://figshare.com/articles/dataset/Supplementary_study_data_/14894303","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"81","https://doi.org/10.6084/m9.figshare.13251428","0","1","1","1","1","1","0","0","1","1","1","1","0","0","0","1","1","0","1","1","0","1"
"82","http://dx.doi.org/10.25532/OPARA-120","0","1","1","1","1","0","0","0","0","1","0","1","0","0","0","1","1","0","1","1","0","1"
"83","https://osf.io/bdsqv/","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"84","https://figshare.com/articles/dataset/S1_Dataset_-/16602615","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"85","https://figshare.com/articles/dataset/S1_Dataset_-/16662303","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"86","https://doi.org/10.6084/m9.figshare.16680565.v2","0","1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","0","1","1","0","1"
"87","https://figshare.com/articles/dataset/Dataset_for_60_pats_CPI_/16925496","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"88","https://figshare.com/articles/dataset/Somatic_variants_of_candidate_driver_genes_in_MSH3-deficient_adenomas_/17094902","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"89","https://www.ncbi.nlm.nih.gov/nuccore/MT776952","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"90","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR9891693","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"91","https://www.wwpdb.org/pdb?id=pdb_00006zue","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"92","https://www.ebi.ac.uk/emdb/EMD-10611","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"93","https://www.ebi.ac.uk/pride/archive/projects/PXD020453","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"94","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160845","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"95","https://www.ebi.ac.uk/pride/archive/projects/PXD018651","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"96","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001673","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"97","https://www.ebi.ac.uk/pride/archive/projects/PXD020175","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"98","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156544","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"99","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153105","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"100","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166555","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"101","https://github.com/molsysbio/sccrc/tree/master/_data","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"102","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159978","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"103","https://doi.org/10.5281/zenodo.4434363","0","1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","0","1","1","0","1"
"104","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153894","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
